,1,2,3,4,5
515,1.0,3.0,2.0,9.0,1.0
516,3.0,11.0,1.0,1.0,3.0
517,3.0,2.0,5.0,1.0,10.0
518,1.0,2.0,1.0,1.0,2.0
519,3.0,1.0,18.0,1.0,1.0
520,3.0,5.0,1.0,2.0,1.0
521,2.0,1.0,2.0,2.0,1.0
522,1.0,1.0,6.0,2.0,2.0
523,5.0,8.0,1.0,3.0,3.0
524,1.0,2.0,21.0,1.0,1.0
525,6.0,1.0,2.0,1.0,8.0
526,36.0,1.0,2.0,1.0,1.0
527,3.0,5.0,4.0,3.0,4.0
528,6.0,2.0,5.0,4.0,5.0
529,1.0,1.0,1.0,37.0,1.0
530,1.0,1.0,1.0,10.0,1.0
531,4.0,4.0,1.0,11.0,1.0
532,1.0,3.0,2.0,3.0,2.0
533,1.0,1.0,6.0,2.0,1.0
534,1.0,4.0,3.0,12.0,3.0
535,2.0,1.0,2.0,1.0,1.0
536,1.0,16.0,1.0,6.0,1.0
537,7.0,1.0,4.0,1.0,7.0
538,64.0,1.0,1.0,26.0,1.0
539,4.0,1.0,2.0,2.0,2.0
540,2.0,3.0,1.0,8.0,1.0
541,20.0,1.0,2.0,56.0,1.0
542,4.0,3.0,1.0,1.0,1.0
543,1.0,2.0,1.0,1.0,1.0
544,3.0,1.0,2.0,3.0,4.0
545,2.0,1.0,1.0,1.0,5.0
546,3.0,3.0,8.0,1.0,2.0
547,1.0,1.0,1.0,1.0,1.0
548,1.0,23.0,1.0,1.0,1.0
549,4.0,8.0,3.0,1.0,1.0
550,1.0,1.0,1.0,2.0,1.0
551,1.0,1.0,3.0,2.0,1.0
552,2.0,1.0,3.0,1.0,1.0
553,1.0,4.0,1.0,1.0,2.0
554,1.0,1.0,1.0,1.0,1.0
555,1.0,6.0,1.0,4.0,8.0
556,1.0,1.0,1.0,1.0,3.0
557,6.0,1.0,1.0,1.0,11.0
558,1.0,1.0,1.0,1.0,3.0
559,1.0,2.0,1.0,5.0,1.0
560,1.0,1.0,2.0,1.0,1.0
561,2.0,9.0,2.0,1.0,1.0
562,3.0,3.0,1.0,2.0,1.0
563,1.0,9.0,2.0,1.0,1.0
564,1.0,12.0,3.0,1.0,1.0
565,1.0,1.0,2.0,4.0,1.0
566,1.0,7.0,6.0,2.0,1.0
567,3.0,1.0,3.0,2.0,1.0
568,6.0,1.0,1.0,3.0,1.0
569,6.0,1.0,3.0,2.0,2.0
570,8.0,1.0,1.0,17.0,1.0
571,3.0,3.0,2.0,7.0,1.0
572,1.0,1.0,2.0,1.0,1.0
573,1.0,1.0,1.0,2.0,1.0
574,17.0,1.0,1.0,1.0,1.0
575,2.0,2.0,1.0,16.0,1.0
576,1.0,1.0,1.0,19.0,5.0
577,2.0,1.0,1.0,2.0,3.0
578,6.0,73.0,55.0,1.0,5.0
579,12.0,1.0,1.0,4.0,2.0
580,1.0,9.0,13.0,2.0,1.0
581,1.0,8.0,2.0,1.0,4.0
582,2.0,1.0,30.0,1.0,2.0
583,1.0,1.0,1.0,2.0,1.0
584,1.0,46.0,2.0,1.0,1.0
585,11.0,9.0,5.0,1.0,3.0
586,3.0,1.0,1.0,1.0,1.0
587,50.0,15.0,1.0,21.0,31.0
588,3.0,2.0,14.0,1.0,1.0
589,1.0,1.0,1.0,1.0,4.0
590,28.0,2.0,1.0,1.0,1.0
591,2.0,1.0,2.0,1.0,4.0
592,3.0,4.0,1.0,1.0,1.0
593,2.0,72.0,1.0,2.0,5.0
594,1.0,5.0,1.0,3.0,1.0
595,2.0,1.0,3.0,1.0,3.0
596,2.0,2.0,1.0,4.0,13.0
597,1.0,1.0,2.0,13.0,1.0
598,1.0,3.0,1.0,1.0,1.0
599,1.0,1.0,1.0,2.0,2.0
600,102.0,1.0,9.0,1.0,3.0
601,1.0,1.0,3.0,2.0,1.0
602,4.0,1.0,2.0,1.0,1.0
603,1.0,1.0,1.0,1.0,1.0
604,1.0,1.0,3.0,1.0,1.0
605,1.0,1.0,10.0,1.0,1.0
606,3.0,4.0,1.0,1.0,4.0
607,4.0,2.0,9.0,1.0,1.0
608,1.0,1.0,5.0,5.0,6.0
609,7.0,7.0,1.0,2.0,3.0
610,9.0,10.0,1.0,1.0,6.0
611,1.0,3.0,4.0,32.0,4.0
612,1.0,1.0,30.0,1.0,11.0
613,1.0,3.0,1.0,1.0,24.0
614,1.0,1.0,1.0,5.0,1.0
615,1.0,2.0,15.0,2.0,2.0
616,1.0,1.0,1.0,4.0,9.0
617,1.0,5.0,2.0,5.0,1.0
618,2.0,3.0,1.0,5.0,3.0
619,1.0,1.0,1.0,1.0,2.0
620,1.0,1.0,3.0,1.0,13.0
621,1.0,12.0,3.0,1.0,3.0
622,2.0,1.0,1.0,1.0,1.0
623,1.0,2.0,2.0,1.0,1.0
624,2.0,1.0,1.0,1.0,12.0
625,1.0,3.0,1.0,1.0,1.0
626,9.0,1.0,6.0,10.0,1.0
627,4.0,1.0,1.0,1.0,1.0
628,4.0,5.0,1.0,1.0,14.0
629,1.0,1.0,1.0,3.0,2.0
630,2.0,1.0,4.0,2.0,3.0
631,1.0,1.0,1.0,1.0,5.0
632,8.0,1.0,1.0,1.0,1.0
